date,datatype,station,attributes,value
2022-11-01T00:00:00,TAVG,GHCND:USC00013645,"3,7",51.2
2022-11-01T00:00:00,TAVG,GHCND:USC00013655,",7",53.7
2022-11-01T00:00:00,TAVG,GHCND:USC00013775,",7",53.6
2022-11-01T00:00:00,TAVG,GHCND:USC00013931,",7",55.2
2022-11-01T00:00:00,TAVG,GHCND:USC00014193,"1,7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00014280,",7",52.6
2022-11-01T00:00:00,TAVG,GHCND:USC00014502,",7",52.4
2022-11-01T00:00:00,TAVG,GHCND:USC00014977,",7",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00015121,",7",55.2
2022-11-01T00:00:00,TAVG,GHCND:USC00015397,",7",56.5
2022-11-01T00:00:00,TAVG,GHCND:USC00015553,",7",56.6
2022-11-01T00:00:00,TAVG,GHCND:USC00015635,",7",49.8
2022-11-01T00:00:00,TAVG,GHCND:USC00015751,",7",51.3
2022-11-01T00:00:00,TAVG,GHCND:USC00016001,"2,7",51.9
2022-11-01T00:00:00,TAVG,GHCND:USC00016121,",7",52.0
2022-11-01T00:00:00,TAVG,GHCND:USC00016129,",7",54.1
2022-11-01T00:00:00,TAVG,GHCND:USC00016196,",7",49.7
2022-11-01T00:00:00,TAVG,GHCND:USC00017025,",7",54.2
2022-11-01T00:00:00,TAVG,GHCND:USC00017157,"2,7",53.1
2022-11-01T00:00:00,TAVG,GHCND:USC00017207,",7",51.9
2022-11-01T00:00:00,TAVG,GHCND:USC00017304,",7",53.5
2022-11-01T00:00:00,TAVG,GHCND:USC00017366,"2,7",56.2
2022-11-01T00:00:00,TAVG,GHCND:USC00017999,",7",54.2
2022-11-01T00:00:00,TAVG,GHCND:USC00018024,",7",51.3
2022-11-01T00:00:00,TAVG,GHCND:USC00018209,"2,7",56.0
2022-11-01T00:00:00,TAVG,GHCND:USC00018323,"1,7",59.0
2022-11-01T00:00:00,TAVG,GHCND:USC00018380,",7",56.6
2022-11-01T00:00:00,TAVG,GHCND:USC00018469,",7",49.4
2022-11-01T00:00:00,TAVG,GHCND:USC00018517,",7",54.6
2022-11-01T00:00:00,TAVG,GHCND:USC00018812,",7",53.2
2022-11-01T00:00:00,TAVG,GHCND:USC00018998,",7",52.6
2022-11-01T00:00:00,TAVG,GHCND:USC00020080,",7",60.3
2022-11-01T00:00:00,TAVG,GHCND:USC00020100,"1,7",52.4
2022-11-01T00:00:00,TAVG,GHCND:USC00020159,",7",33.9
2022-11-01T00:00:00,TAVG,GHCND:USC00020287,",7",50.6
2022-11-01T00:00:00,TAVG,GHCND:USC00020288,",7",57.2
2022-11-01T00:00:00,TAVG,GHCND:USC00020586,",7",45.2
2022-11-01T00:00:00,TAVG,GHCND:USC00020678,",7",31.8
2022-11-01T00:00:00,TAVG,GHCND:USC00020683,"5,7",49.8
2022-11-01T00:00:00,TAVG,GHCND:USC00020750,",7",35.5
2022-11-01T00:00:00,TAVG,GHCND:USC00020871,",7",34.2
2022-11-01T00:00:00,TAVG,GHCND:USC00021001,",7",27.4
2022-11-01T00:00:00,TAVG,GHCND:USC00021027,",7",57.7
2022-11-01T00:00:00,TAVG,GHCND:USC00021248,",7",35.4
2022-11-01T00:00:00,TAVG,GHCND:USC00021282,"1,7",56.4
2022-11-01T00:00:00,TAVG,GHCND:USC00021306,",7",57.4
2022-11-01T00:00:00,TAVG,GHCND:USC00021314,"1,7",56.1
2022-11-01T00:00:00,TAVG,GHCND:USC00021330,"2,7",48.4
2022-11-01T00:00:00,TAVG,GHCND:USC00021357,"1,7",51.5
2022-11-01T00:00:00,TAVG,GHCND:USC00022109,"1,7",48.4
2022-11-01T00:00:00,TAVG,GHCND:USC00022140,"1,7",50.1
2022-11-01T00:00:00,TAVG,GHCND:USC00022754,",7",46.3
2022-11-01T00:00:00,TAVG,GHCND:USC00022782,",7",57.5
2022-11-01T00:00:00,TAVG,GHCND:USC00023009,",7",31.0
2022-11-01T00:00:00,TAVG,GHCND:USC00023013,",7",28.3
2022-11-01T00:00:00,TAVG,GHCND:USC00023190,",7",58.5
2022-11-01T00:00:00,TAVG,GHCND:USC00023393,"1,7",58.1
2022-11-01T00:00:00,TAVG,GHCND:USC00023501,",7",48.6
2022-11-01T00:00:00,TAVG,GHCND:USC00023582,"1,7",36.4
2022-11-01T00:00:00,TAVG,GHCND:USC00023584,",7",34.5
2022-11-01T00:00:00,TAVG,GHCND:USC00023668,"2,7",54.6
2022-11-01T00:00:00,TAVG,GHCND:USC00023828,",7",31.8
2022-11-01T00:00:00,TAVG,GHCND:USC00023961,"6,7",35.9
2022-11-01T00:00:00,TAVG,GHCND:USC00024453,"4,7",46.3
2022-11-01T00:00:00,TAVG,GHCND:USC00024534,"4,7",49.1
2022-11-01T00:00:00,TAVG,GHCND:USC00024761,",7",58.5
2022-11-01T00:00:00,TAVG,GHCND:USC00025412,",7",35.4
2022-11-01T00:00:00,TAVG,GHCND:USC00025418,"1,7",51.4
2022-11-01T00:00:00,TAVG,GHCND:USC00025494,",7",37.5
2022-11-01T00:00:00,TAVG,GHCND:USC00025635,"1,7",46.4
2022-11-01T00:00:00,TAVG,GHCND:USC00025732,",7",38.5
2022-11-01T00:00:00,TAVG,GHCND:USC00025737,",7",43.8
2022-11-01T00:00:00,TAVG,GHCND:USC00025825,",7",45.0
2022-11-01T00:00:00,TAVG,GHCND:USC00025924,",7",49.0
2022-11-01T00:00:00,TAVG,GHCND:USC00026117,"2,7",48.6
2022-11-01T00:00:00,TAVG,GHCND:USC00026132,"1,7",59.1
2022-11-01T00:00:00,TAVG,GHCND:USC00026190,",7",38.7
2022-11-01T00:00:00,TAVG,GHCND:USC00026194,"3,7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00026242,",7",43.9
2022-11-01T00:00:00,TAVG,GHCND:USC00026468,",7",39.3
2022-11-01T00:00:00,TAVG,GHCND:USC00026471,",7",52.6
2022-11-01T00:00:00,TAVG,GHCND:USC00026513,"3,7",57.9
2022-11-01T00:00:00,TAVG,GHCND:USC00026603,"2,7",57.3
2022-11-01T00:00:00,TAVG,GHCND:USC00026653,",7",40.6
2022-11-01T00:00:00,TAVG,GHCND:USC00026796,",7",40.3
2022-11-01T00:00:00,TAVG,GHCND:USC00027187,",7",55.1
2022-11-01T00:00:00,TAVG,GHCND:USC00027281,"1,7",48.9
2022-11-01T00:00:00,TAVG,GHCND:USC00027390,"1,7",50.6
2022-11-01T00:00:00,TAVG,GHCND:USC00027398,",7",57.3
2022-11-01T00:00:00,TAVG,GHCND:USC00027435,"1,7",38.9
2022-11-01T00:00:00,TAVG,GHCND:USC00027488,",7",37.2
2022-11-01T00:00:00,TAVG,GHCND:USC00027530,",7",53.3
2022-11-01T00:00:00,TAVG,GHCND:USC00027619,",7",53.0
2022-11-01T00:00:00,TAVG,GHCND:USC00027716,"5,7",40.9
2022-11-01T00:00:00,TAVG,GHCND:USC00027855,",7",39.1
2022-11-01T00:00:00,TAVG,GHCND:USC00027880,"1,7",48.0
2022-11-01T00:00:00,TAVG,GHCND:USC00027990,"1,7",47.6
2022-11-01T00:00:00,TAVG,GHCND:USC00028162,",7",37.3
2022-11-01T00:00:00,TAVG,GHCND:USC00028329,"1,7",33.2
2022-11-01T00:00:00,TAVG,GHCND:USC00028396,",7",56.4
2022-11-01T00:00:00,TAVG,GHCND:USC00028468,",7",40.2
2022-11-01T00:00:00,TAVG,GHCND:USC00028590,",7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00028795,"2,7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00028865,"1,7",52.2
2022-11-01T00:00:00,TAVG,GHCND:USC00028904,"1,7",47.3
2022-11-01T00:00:00,TAVG,GHCND:USC00028910,",7",38.7
2022-11-01T00:00:00,TAVG,GHCND:USC00029156,",7",36.0
2022-11-01T00:00:00,TAVG,GHCND:USC00029158,",7",40.8
2022-11-01T00:00:00,TAVG,GHCND:USC00029309,"1,7",53.3
2022-11-01T00:00:00,TAVG,GHCND:USC00029334,",7",47.3
2022-11-01T00:00:00,TAVG,GHCND:USC00029359,",7",38.4
2022-11-01T00:00:00,TAVG,GHCND:USC00029542,"1,7",41.5
2022-11-01T00:00:00,TAVG,GHCND:USC00029634,",7",55.1
2022-11-01T00:00:00,TAVG,GHCND:USC00030064,",7",48.4
2022-11-01T00:00:00,TAVG,GHCND:USC00030130,"1,7",49.1
2022-11-01T00:00:00,TAVG,GHCND:USC00030220,",7",49.3
2022-11-01T00:00:00,TAVG,GHCND:USC00030286,"2,7",50.2
2022-11-01T00:00:00,TAVG,GHCND:USC00030458,",7",46.6
2022-11-01T00:00:00,TAVG,GHCND:USC00030460,"1,7",48.8
2022-11-01T00:00:00,TAVG,GHCND:USC00030536,",7",48.5
2022-11-01T00:00:00,TAVG,GHCND:USC00030582,",7",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00030664,",7",48.3
2022-11-01T00:00:00,TAVG,GHCND:USC00030764,",7",49.8
2022-11-01T00:00:00,TAVG,GHCND:USC00030798,"1,7",48.1
2022-11-01T00:00:00,TAVG,GHCND:USC00031132,",7",48.1
2022-11-01T00:00:00,TAVG,GHCND:USC00031140,",7",52.5
2022-11-01T00:00:00,TAVG,GHCND:USC00031191,"3,7",53.2
2022-11-01T00:00:00,TAVG,GHCND:USC00031457,",7",50.0
2022-11-01T00:00:00,TAVG,GHCND:USC00031596,",7",48.0
2022-11-01T00:00:00,TAVG,GHCND:USC00031632,",7",48.8
2022-11-01T00:00:00,TAVG,GHCND:USC00031838,",7",50.8
2022-11-01T00:00:00,TAVG,GHCND:USC00031910,",7",49.0
2022-11-01T00:00:00,TAVG,GHCND:USC00031948,"3,7",51.7
2022-11-01T00:00:00,TAVG,GHCND:USC00032366,",7",44.9
2022-11-01T00:00:00,TAVG,GHCND:USC00032444,",7",46.8
2022-11-01T00:00:00,TAVG,GHCND:USC00032540,",7",49.9
2022-11-01T00:00:00,TAVG,GHCND:USC00032794,",7",47.7
2022-11-01T00:00:00,TAVG,GHCND:USC00032930,",7",47.5
2022-11-01T00:00:00,TAVG,GHCND:USC00032978,",7",50.5
2022-11-01T00:00:00,TAVG,GHCND:USC00033132,",7",47.4
2022-11-01T00:00:00,TAVG,GHCND:USC00033164,",7",47.6
2022-11-01T00:00:00,TAVG,GHCND:USC00033428,",7",50.9
2022-11-01T00:00:00,TAVG,GHCND:USC00033466,",7",51.3
2022-11-01T00:00:00,TAVG,GHCND:USC00033734,"1,7",48.3
2022-11-01T00:00:00,TAVG,GHCND:USC00033821,",7",48.8
2022-11-01T00:00:00,TAVG,GHCND:USC00033862,",7",50.4
2022-11-01T00:00:00,TAVG,GHCND:USC00033909,"1,7",44.4
2022-11-01T00:00:00,TAVG,GHCND:USC00034106,",7",47.2
2022-11-01T00:00:00,TAVG,GHCND:USC00034548,",7",51.1
2022-11-01T00:00:00,TAVG,GHCND:USC00034562,"1,7",50.8
2022-11-01T00:00:00,TAVG,GHCND:USC00034572,",7",46.7
2022-11-01T00:00:00,TAVG,GHCND:USC00034625,",7",47.9
2022-11-01T00:00:00,TAVG,GHCND:USC00034638,",7",50.6
2022-11-01T00:00:00,TAVG,GHCND:USC00034666,",7",46.3
2022-11-01T00:00:00,TAVG,GHCND:USC00034756,"3,7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00034938,"1,7",51.0
2022-11-01T00:00:00,TAVG,GHCND:USC00035018,"3,7",46.9
2022-11-01T00:00:00,TAVG,GHCND:USC00035036,",7",46.8
2022-11-01T00:00:00,TAVG,GHCND:USC00035046,",7",48.0
2022-11-01T00:00:00,TAVG,GHCND:USC00035079,"2,7",49.9
2022-11-01T00:00:00,TAVG,GHCND:USC00035112,",7",51.4
2022-11-01T00:00:00,TAVG,GHCND:USC00035186,"1,7",49.5
2022-11-01T00:00:00,TAVG,GHCND:USC00035189,",W",48.6
2022-11-01T00:00:00,TAVG,GHCND:USC00035200,",7",49.0
2022-11-01T00:00:00,TAVG,GHCND:USC00035512,",7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00035563,",7",48.3
2022-11-01T00:00:00,TAVG,GHCND:USC00035754,"3,7",52.0
2022-11-01T00:00:00,TAVG,GHCND:USC00035820,",7",47.8
2022-11-01T00:00:00,TAVG,GHCND:USC00035831,"3,7",47.8
2022-11-01T00:00:00,TAVG,GHCND:USC00035866,",7",52.7
2022-11-01T00:00:00,TAVG,GHCND:USC00035908,",7",50.1
2022-11-01T00:00:00,TAVG,GHCND:USC00036376,",7",50.9
2022-11-01T00:00:00,TAVG,GHCND:USC00036403,",7",45.9
2022-11-01T00:00:00,TAVG,GHCND:USC00036506,"1,7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00036920,"1,7",50.7
2022-11-01T00:00:00,TAVG,GHCND:USC00036928,",7",49.7
2022-11-01T00:00:00,TAVG,GHCND:USC00037488,",7",48.4
2022-11-01T00:00:00,TAVG,GHCND:USC00037963,",7",46.7
2022-11-01T00:00:00,TAVG,GHCND:USC00038052,",7",53.0
2022-11-01T00:00:00,TAVG,GHCND:USC00040136,",7",54.4
2022-11-01T00:00:00,TAVG,GHCND:USC00040192,",7",63.6
2022-11-01T00:00:00,TAVG,GHCND:USC00040212,",7",48.8
2022-11-01T00:00:00,TAVG,GHCND:USC00040444,"3,H",53.7
2022-11-01T00:00:00,TAVG,GHCND:USC00040521,"1,7",50.0
2022-11-01T00:00:00,TAVG,GHCND:USC00040673,",7",51.8
2022-11-01T00:00:00,TAVG,GHCND:USC00040693,",7",53.7
2022-11-01T00:00:00,TAVG,GHCND:USC00040741,",7",37.1
2022-11-01T00:00:00,TAVG,GHCND:USC00040790,"2,7",53.2
2022-11-01T00:00:00,TAVG,GHCND:USC00040820,",7",30.3
2022-11-01T00:00:00,TAVG,GHCND:USC00040931,",7",30.3
2022-11-01T00:00:00,TAVG,GHCND:USC00040983,",7",60.2
2022-11-01T00:00:00,TAVG,GHCND:USC00041194,",7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00041253,",7",54.4
2022-11-01T00:00:00,TAVG,GHCND:USC00041312,"1,7",50.4
2022-11-01T00:00:00,TAVG,GHCND:USC00041424,",7",50.1
2022-11-01T00:00:00,TAVG,GHCND:USC00041614,"2,7",29.6
2022-11-01T00:00:00,TAVG,GHCND:USC00041697,",7",41.7
2022-11-01T00:00:00,TAVG,GHCND:USC00041700,"1,7",32.4
2022-11-01T00:00:00,TAVG,GHCND:USC00041738,",7",55.1
2022-11-01T00:00:00,TAVG,GHCND:USC00041758,",7",58.6
2022-11-01T00:00:00,TAVG,GHCND:USC00041838,",7",48.5
2022-11-01T00:00:00,TAVG,GHCND:USC00041912,",7",47.7
2022-11-01T00:00:00,TAVG,GHCND:USC00041948,",7",49.5
2022-11-01T00:00:00,TAVG,GHCND:USC00041990,"5,7",39.7
2022-11-01T00:00:00,TAVG,GHCND:USC00042012,",7",49.0
2022-11-01T00:00:00,TAVG,GHCND:USC00042214,",7",59.3
2022-11-01T00:00:00,TAVG,GHCND:USC00042239,",7",43.6
2022-11-01T00:00:00,TAVG,GHCND:USC00042294,",7",51.0
2022-11-01T00:00:00,TAVG,GHCND:USC00042319,",W",61.3
2022-11-01T00:00:00,TAVG,GHCND:USC00042500,",7",38.7
2022-11-01T00:00:00,TAVG,GHCND:USC00042574,",7",40.0
2022-11-01T00:00:00,TAVG,GHCND:USC00042706,",7",57.1
2022-11-01T00:00:00,TAVG,GHCND:USC00042713,"3,7",60.7
2022-11-01T00:00:00,TAVG,GHCND:USC00042805,",7",55.9
2022-11-01T00:00:00,TAVG,GHCND:USC00042863,",7",59.6
2022-11-01T00:00:00,TAVG,GHCND:USC00042934,",7",51.8
2022-11-01T00:00:00,TAVG,GHCND:USC00042941,",7",47.8
2022-11-01T00:00:00,TAVG,GHCND:USC00043157,",7",30.0
2022-11-01T00:00:00,TAVG,GHCND:USC00043161,",7",46.6
2022-11-01T00:00:00,TAVG,GHCND:USC00043191,",7",49.8
2022-11-01T00:00:00,TAVG,GHCND:USC00043244,",7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00043256,"5,H",53.0
2022-11-01T00:00:00,TAVG,GHCND:USC00043261,",H",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00043551,"3,H",37.8
2022-11-01T00:00:00,TAVG,GHCND:USC00043573,",7",44.3
2022-11-01T00:00:00,TAVG,GHCND:USC00043578,",7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00043669,",7",42.8
2022-11-01T00:00:00,TAVG,GHCND:USC00043714,"1,7",49.7
2022-11-01T00:00:00,TAVG,GHCND:USC00043824,"1,7",36.0
2022-11-01T00:00:00,TAVG,GHCND:USC00043875,",7",51.2
2022-11-01T00:00:00,TAVG,GHCND:USC00043882,",7",56.1
2022-11-01T00:00:00,TAVG,GHCND:USC00043896,",7",57.6
2022-11-01T00:00:00,TAVG,GHCND:USC00043914,",7",47.2
2022-11-01T00:00:00,TAVG,GHCND:USC00043939,"1,7",42.1
2022-11-01T00:00:00,TAVG,GHCND:USC00044025,"4,7",52.6
2022-11-01T00:00:00,TAVG,GHCND:USC00044211,",7",42.9
2022-11-01T00:00:00,TAVG,GHCND:USC00044223,",7",61.3
2022-11-01T00:00:00,TAVG,GHCND:USC00044259,",7",62.6
2022-11-01T00:00:00,TAVG,GHCND:USC00044297,"2,7",61.4
2022-11-01T00:00:00,TAVG,GHCND:USC00044303,",7",60.8
2022-11-01T00:00:00,TAVG,GHCND:USC00044394,",7",49.1
2022-11-01T00:00:00,TAVG,GHCND:USC00044412,",7",47.1
2022-11-01T00:00:00,TAVG,GHCND:USC00044500,",7",51.0
2022-11-01T00:00:00,TAVG,GHCND:USC00044555,",7",50.5
2022-11-01T00:00:00,TAVG,GHCND:USC00044712,",7",52.0
2022-11-01T00:00:00,TAVG,GHCND:USC00044838,"1,7",31.6
2022-11-01T00:00:00,TAVG,GHCND:USC00044890,"1,H",52.4
2022-11-01T00:00:00,TAVG,GHCND:USC00044997,",7",50.8
2022-11-01T00:00:00,TAVG,GHCND:USC00045064,",7",53.1
2022-11-01T00:00:00,TAVG,GHCND:USC00045118,"5,H",51.3
2022-11-01T00:00:00,TAVG,GHCND:USC00045360,",7",47.7
2022-11-01T00:00:00,TAVG,GHCND:USC00045739,",H",52.3
2022-11-01T00:00:00,TAVG,GHCND:USC00045795,",7",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00045860,",7",51.9
2022-11-01T00:00:00,TAVG,GHCND:USC00045915,",7",49.5
2022-11-01T00:00:00,TAVG,GHCND:USC00045933,",7",44.3
2022-11-01T00:00:00,TAVG,GHCND:USC00045968,",7",41.8
2022-11-01T00:00:00,TAVG,GHCND:USC00046136,"1,7",44.4
2022-11-01T00:00:00,TAVG,GHCND:USC00046154,",7",47.1
2022-11-01T00:00:00,TAVG,GHCND:USC00046168,",7",53.0
2022-11-01T00:00:00,TAVG,GHCND:USC00046174,"1,7",51.1
2022-11-01T00:00:00,TAVG,GHCND:USC00046175,",7",59.9
2022-11-01T00:00:00,TAVG,GHCND:USC00046336,",7",54.9
2022-11-01T00:00:00,TAVG,GHCND:USC00046377,",7",57.1
2022-11-01T00:00:00,TAVG,GHCND:USC00046386,",7",62.9
2022-11-01T00:00:00,TAVG,GHCND:USC00046399,",7",52.6
2022-11-01T00:00:00,TAVG,GHCND:USC00046506,",7",52.3
2022-11-01T00:00:00,TAVG,GHCND:USC00046508,",7",46.1
2022-11-01T00:00:00,TAVG,GHCND:USC00046521,"3,7",53.1
2022-11-01T00:00:00,TAVG,GHCND:USC00046572,",7",58.2
2022-11-01T00:00:00,TAVG,GHCND:USC00046597,"1,7",43.0
2022-11-01T00:00:00,TAVG,GHCND:USC00046624,",7",49.2
2022-11-01T00:00:00,TAVG,GHCND:USC00046657,",7",45.6
2022-11-01T00:00:00,TAVG,GHCND:USC00046699,",7",58.9
2022-11-01T00:00:00,TAVG,GHCND:USC00046719,",7",60.9
2022-11-01T00:00:00,TAVG,GHCND:USC00046730,",7",48.8
2022-11-01T00:00:00,TAVG,GHCND:USC00046773,",7",50.3
2022-11-01T00:00:00,TAVG,GHCND:USC00046826,",7",49.5
2022-11-01T00:00:00,TAVG,GHCND:USC00046926,",7",48.2
2022-11-01T00:00:00,TAVG,GHCND:USC00047085,"2,7",32.1
2022-11-01T00:00:00,TAVG,GHCND:USC00047109,"1,7",48.2
2022-11-01T00:00:00,TAVG,GHCND:USC00047195,",7",36.4
2022-11-01T00:00:00,TAVG,GHCND:USC00047248,",7",58.4
2022-11-01T00:00:00,TAVG,GHCND:USC00047326,",7",58.5
2022-11-01T00:00:00,TAVG,GHCND:USC00047339,",7",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00047702,",7",46.4
2022-11-01T00:00:00,TAVG,GHCND:USC00047741,",7",57.5
2022-11-01T00:00:00,TAVG,GHCND:USC00047813,",7",55.5
2022-11-01T00:00:00,TAVG,GHCND:USC00047821,",H",53.6
2022-11-01T00:00:00,TAVG,GHCND:USC00047851,",7",56.2
2022-11-01T00:00:00,TAVG,GHCND:USC00047880,",7",54.4
2022-11-01T00:00:00,TAVG,GHCND:USC00047888,",7",61.4
2022-11-01T00:00:00,TAVG,GHCND:USC00047902,",7",56.9
2022-11-01T00:00:00,TAVG,GHCND:USC00047965,"3,7",49.4
2022-11-01T00:00:00,TAVG,GHCND:USC00048045,",7",47.8
2022-11-01T00:00:00,TAVG,GHCND:USC00048135,",7",50.6
2022-11-01T00:00:00,TAVG,GHCND:USC00048273,",7",48.3
2022-11-01T00:00:00,TAVG,GHCND:USC00048351,"4,7",50.4
2022-11-01T00:00:00,TAVG,GHCND:USC00048407,"5,H",47.9
2022-11-01T00:00:00,TAVG,GHCND:USC00048587,",7",47.3
2022-11-01T00:00:00,TAVG,GHCND:USC00048606,"3,7",42.1
2022-11-01T00:00:00,TAVG,GHCND:USC00048702,"1,7",33.8
2022-11-01T00:00:00,TAVG,GHCND:USC00048713,"5,7",51.3
2022-11-01T00:00:00,TAVG,GHCND:USC00048758,",7",30.9
2022-11-01T00:00:00,TAVG,GHCND:USC00048760,",7",29.3
2022-11-01T00:00:00,TAVG,GHCND:USC00049001,",7",52.4
2022-11-01T00:00:00,TAVG,GHCND:USC00049026,",7",44.0
2022-11-01T00:00:00,TAVG,GHCND:USC00049035,",7",51.9
2022-11-01T00:00:00,TAVG,GHCND:USC00049040,",7",27.2
2022-11-01T00:00:00,TAVG,GHCND:USC00049053,",7",30.9
2022-11-01T00:00:00,TAVG,GHCND:USC00049073,",7",51.6
2022-11-01T00:00:00,TAVG,GHCND:USC00049099,",7",54.6
2022-11-01T00:00:00,TAVG,GHCND:USC00049111,",7",54.5
2022-11-01T00:00:00,TAVG,GHCND:USC00049152,",7",61.5
2022-11-01T00:00:00,TAVG,GHCND:USC00049219,"1,7",52.7
2022-11-01T00:00:00,TAVG,GHCND:USC00049226,",7",54.5
2022-11-01T00:00:00,TAVG,GHCND:USC00049298,",7",33.6
2022-11-01T00:00:00,TAVG,GHCND:USC00049367,"2,H",51.7
2022-11-01T00:00:00,TAVG,GHCND:USC00049378,",7",58.0
2022-11-01T00:00:00,TAVG,GHCND:USC00049473,",7",52.0
2022-11-01T00:00:00,TAVG,GHCND:USC00049699,",7",52.4
2022-11-01T00:00:00,TAVG,GHCND:USC00049742,",7",50.9
2022-11-01T00:00:00,TAVG,GHCND:USC00049781,",7",50.8
2022-11-01T00:00:00,TAVG,GHCND:USC00049785,",7",56.7
2022-11-01T00:00:00,TAVG,GHCND:USC00049866,"2,7",37.9
